,Date,Store,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Size,Year,Month,Day,IsHoliday_False,IsHoliday_True,Type_A,Type_B,Type_C,Weekly_Sales
0,2010-02-05,1.0,42.31,2.572,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.0963582,8.106,151315.0,2010.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,1643690.9
1,2010-02-12,1.0,38.51,2.548,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.2421698,8.106,151315.0,2010.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,1641957.44
2,2010-02-19,1.0,39.93,2.514,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.2891429,8.106,151315.0,2010.0,2.0,19.0,1.0,0.0,1.0,0.0,0.0,1611968.17
3,2010-02-26,1.0,46.63,2.561,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.3196429,8.106,151315.0,2010.0,2.0,26.0,1.0,0.0,1.0,0.0,0.0,1409727.59
4,2010-03-05,1.0,46.5,2.625,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.3501429,8.106,151315.0,2010.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,1554806.68
5,2010-03-12,1.0,57.79,2.667,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.3806429,8.106,151315.0,2010.0,3.0,12.0,1.0,0.0,1.0,0.0,0.0,1439541.59
6,2010-03-19,1.0,54.58,2.72,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.215635,8.106,151315.0,2010.0,3.0,19.0,1.0,0.0,1.0,0.0,0.0,1472515.79
7,2010-03-26,1.0,51.45,2.732,4740.545,364.57,36.26,1176.0925,2726.2075000000004,211.0180424,8.106,151315.0,2010.0,3.0,26.0,1.0,0.0,1.0,0.0,0.0,1404429.92
8,2010-04-02,1.0,62.27,2.719,4740.545,364.57,36.26,1176.0925,2726.2075000000004,210.8204499,7.808,151315.0,2010.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1594968.28
9,2010-04-09,1.0,65.86,2.77,4740.545,364.57,36.26,1176.0925,2726.2075000000004,210.6228574,7.808,151315.0,2010.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,1545418.53
